version	release_date
302	2020-01-09
300	2020-01-03
298	2019-12-20
297	2019-12-18
296	2019-12-14
294	2019-12-13
292	2019-12-06
290	2019-11-26
288	2019-11-23
286	2019-11-18
283	2019-11-15
280	2019-11-08
278	2019-10-31
276	2019-10-25
272	2019-10-19
270	2019-10-12
268	2019-10-03
266	2019-09-27
262	2019-09-12
260	2019-08-28
256	2019-08-02
251	2019-07-25
248	2019-07-18
246	2019-07-05
245	2019-06-28
243	2019-06-21
242	2019-06-19
240	2019-06-14
238	2019-06-08
235	2019-05-29
234	2019-05-25
231	2019-05-23
228	2019-05-16
223	2019-05-10
221	2019-05-05
219	2019-04-27
216	2019-04-19
215	2019-04-05
212	2019-03-29
211	2019-03-16
206	2019-03-01
204	2019-02-22
202	2019-02-22
199	2019-02-15
198	2019-02-09
195	2019-01-31
193	2019-01-17
190	2019-01-11
188	2019-01-04
187	2019-01-03
185	2018-12-27
183	2018-12-20
181	2018-12-13
177	2018-11-30
174	2018-11-29
172	2018-11-22
169	2018-11-18
168	2018-11-18
167	2018-11-09
166	2018-11-09
165	2018-11-08
163	2018-11-07
161	2018-11-02
160	2018-10-29
157	2018-10-26
155	2018-10-19
153	2018-10-12
151	2018-10-08
149	2018-10-05
147	2018-09-28
140	2018-09-17
138	2018-09-14
137	2018-09-08
136	2018-09-07
130	2018-08-17
126	2018-07-18
125	2018-07-13
123	2018-07-10
122	2018-07-06
121	2018-07-06
119	2018-07-06
118	2018-06-29
115	2018-06-22
112	2018-06-21
110	2018-06-14
107	2018-06-08
105	2018-06-01
102	2018-05-31
100	2018-05-25
99	2018-05-24
97	2018-05-18
95	2018-05-11
90	2018-05-03
78	2018-04-20
77	2018-04-17
74	2018-04-13
72	2018-04-05
70	2018-03-16
69	2018-03-16
68	2018-03-16
66	2018-03-14
65	2018-03-13
64	2018-03-09
60	2018-02-28
59	2018-02-27
58	2018-02-26
53	2018-02-25
51	2018-02-08
48	2018-01-26
47	2018-01-22
44	2018-01-19
42	2018-01-09
40	2017-12-01
39	2017-11-29
37	2017-11-28
35	2017-11-15
32	2017-08-15
30	2017-07-28
28	2017-07-21
27	2017-07-01
26	2017-07-01
